Question,Answer
What does â€œluminiferous aether of Alâ€ by Geoff Hinton mean?,"A reference to the non-existent medium through which many 19th-century physicists believed that electromagnetic waves propagated.
"
How is the connectionist models better suited to the messiness of the real world?,"It forms internal concepts in a more fluid and imprecise way.
"
What approach does the brittleness of expert systems led to?,It is an approach incorporating probability rather than Boolean logic
What approach dominate the field of speech recognition?,"The approach using hidden Markov models (HMMs).
"
What are the characteristics of HMMs in the feild of speech recognition?,First
Which year is an important year for the connection between Al and other fields?,"1988
"
In 1998, what fields does AI connected to?
Whose research led to a new acceptance of probability and decision theory in Al?,"Judea Pearl's (1988).
"
What does Pearl's development of Bayesian networks yielded?,"It yielded a rigorous and efficient formalism for representing uncertain knowledge as well as practical algorithms for probabilistic reasoning
"
What major contribution is done by Rich Sutton in 1988?,"connecting reinforcement learning to the theory of Markov decision processes (MDPs) developed in the field of operations research.
"
What kind of advances facilitated the big data phenomenon?,"Remarkable advances in computing power and the creation of the World Wide Web.
"
Who argued that the improvement in performance obtained from increasing the size of the data set by two or three orders of magnitude outweighs any improvement that can be obtained from tweaking the algorithm?,"Banko and Brill (2001)
"
Who developed a clever method for filling in holes in photographs by blending in pixels from similar images?,"Hays and Efros (2007).
"
What does the term deep learning refers to?,It refers to machine learning using multiple layers of simple
What method do experiments found some success in handwritten digit recognition in the 1990s?,"convolutional neural networks.
"
How does deep network contribute to ALPHAGO's victories over the leading human Go players?,"representing the evaluation function.
"
What is the mean for Ford (2018) interviews of AI experts in the question of when (if ever) will AI systems achieve human-level performance across a broad variety of tasks?,"2099
"
What system does U.S. forces deployed to do automated logistics planning and scheduling for transportation?, a Dynamic Analysis and Replanning Tool
What AI system defeated world chess champion Garry Kasparov in 1997?,"Deep Blue
"
What AI system defeated the world GO champion Ke Jie?,"ALPHAGO
"
What ALPHAZERO can do?,It used no input from humans (except for the rules of the game)
What does the deep learning model, which won the 2018 Gordon Bell Prize
Who noted that the â€œmechanical arts are of ambiguous use, serving as well for hurt as for remedyâ€?
Where does the statement â€œmechanical arts are of ambiguous use, serving as well for hurt as for remedyâ€ be noted?
Who suggested that â€œFirst solve Al, then use Al to solve everything else.â€?
How does United Nations define Lethal Autonomous Weapons?,weapons that can locate
What possible risks we might face on devoloping AI?,Lethal Autonomous Weapons
Who reminded that the field of those broader goals and warned that the subfields were in danger of becoming ends in themselves?,"Nils Nilsson (1995)
"
Who was motivated to consider the long-term future of Al after seeing Arthur Samuel's checker-playing program learn to beat its creator?,"Norbert Wiener
"
What does the Kind Midas problem implies?,Midas
What is the definition of agent?,"anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
"
What the word percept refer to?,"It refer to the content an agent's sensors are perceiving.
"
What is an agent's percept sequence?,"the complete history of everything the agent has ever perceived.
"
What can we say mathematically on an agent's behavior?,"An agent's behavior is described by the agent function that maps any given percept sequence to an action.
"
How AI is stucked to consequentialism?,"We evaluate an agent's behavior by its consequences.
"
How can we capture the desirability related to consequentialism of an AI model?,"It can be captured by a performance measure that evaluates any given sequence of environment states.
"
What is the difference on desirability between human and machine?,Human measures it from their point of view
Who warns to ensure that â€œthe purpose put into the machine is the purpose which we really desireâ€?,"Norbert Wiener.
"
What does the King Midas problem inspire us?,"We must accept the possibility that we might put the wrong purpose into the machine.
"
What can the definition of rational depends on?,"The performance measure that defines the criterion of success; The agent's prior knowledge of the environment; The actions that the agent can perform; The agentâ€™s percept sequence to date.
"
What is the difference of omniscience from rationality?,"An omniscient agent knows the actual outcome of its actions and can act accordingly; but omniscience is impossible in reality.
"
What is the relationship between rationality and perfection?,Rationality maximizes expected performance
What information gathering means?,"Doing actions in order to modify future percepts.
"
How we will say that an agent lacks autonomy?,"An agent relies on the prior knowledge of its designer rather than on its own percepts and learning processes.
"
What does an autonomous rational agent do?,"It should learn what it can to compensate for partial or incorrect prior knowledge.
"
What is task environments?,"They are essentially the â€œproblemsâ€ to which rational agents are the â€œsolutions.â€
"
What is PEAS description?,Specify the performance measure
What we can do as the range of task environments that might arise in Al is obviously vast?,"We can identify a fairly small number of dimensions along which task environments can be categorized.
"
What dimensions we can indentify on task environments?,"Fully observable vs. partially observable; single-agent vs. multiagent; deterministic vs. nondeterministic; episodic vs. sequential; static vs. dynamic; discrete vs. continuous; known vs. unknown
"
How can we say a task environment is fully observable?,"an agent's sensors give it access to the complete state of the environment at each point in time.
"
How can we say a task environment is deterministic?,"The next state of the environment is completely determined by the current state and the action executed by the agent(s).
"
What task environment makes an agent need not worry about uncertainty?,"fully observable and deterministic.
"
What is the difference between stochastic and nondeterministic?,We say that a model of the environment is stochastic if it explicitly deals with probabilities (e.g.
How can we say a task environment is episodic?,The agent's experience is divided into atomic episodes
How can we say a task environment is sequential?,"The current decision of agent could affect all future decisions.
"
What are the examples of episodic and sequential task environments?,"Many classification tasks are episodic; Chess and taxi driving are sequential.
"
Why episodic environments are much simpler than sequential environments?,"The agent does not need to think ahead.
"
How can we say a task environment is dynamic for that agent?,"The environment can change while an agent is deliberating.
"
How can we say a task environment is static for that agent?,"The environment cannot change while an agent is deliberating.
"
Why static task envrionments are easy to deal with?,The agent need not keep looking at the world while it is deciding on an action
How can we say a task environment is semidynamic?,"The environment itself does not change with the passage of time but the agent's performance score does.
"
What are the examples of dynamic, semidynamic and static task environments?
What are the differences between discrete and continuous task environments?,The state of the environment
What are the examples of discrete and continuous task environments?,Chess has a finite number of distinct states (excluding the clock)
What does a known / unknown task environment refers to?," The agent's (or designer's) state of knowledge about the â€œlaws of physicsâ€ of the environment.
"
How can we say a task environment is known?,"The outcomes (or outcome probabilities if the environment is nondeterministic) for all actions are given.
"
How can we say a task environment is unknown?,"The agent will have to learn how it works in order to make good decisions.
"
What is an example of partially observable and known task environment?,In solitaire card games
What is an example of fully observable and unknown task environment?,In a new video game
What kind of task environment should be the hardest case?,partially observable
What is an agent function?,"The mapping from percepts to actions.
"
What is the agent architecture?,"A program will run on some sort of computing device with physical sensors and actuators
"
What does simple reflex agents do?,These agents select actions on the basis of the current percept
What does condition-action rule similar to?,"if-then statements.
"
What is the more general and flexible approach for simple reflex agent?,"Firstly build a general-purpose interpreter for condition-action rules and then to create rule sets for specific task environments.
"
How can a simple reflex agen escape from infinite loops?,"The agent can randomize its actions.
"
What is better instead of allowing simple reflex agents to randomize its actions?,"A more sophisticated deterministic agent.
"
What is the most effective way to handle partial observability for the agent?,"The agent should maintain some sort of internal state that depends on the percept history and thereby reflects at least some of the unobserved aspects of the current state. 
"
How the information about how the world changes over time in model-based reflex agent can be divided?,"The effects of the agent's actions and how the world evolves independently of the agent.
"
What is sensor model in model-based reflex agent?,A kind of knowledge
What is the definition of model-based reflex agent?,"An agent using transition model and sensor model.
"
How transition model and sensor model function in model-based reflex agent?,"allow an agent to keep track of the state of the world.
"
Which part in model-based reflex agent's structure is interesting?,"The function which is responsible for creating the new internal state description.
"
What does the model-based reflex agent's knowing of the current world actually is?,It represents the agent's â€œbest guessâ€
What does goal information do to agents?,"It describes situations that are desirable.
"
How a goal-based agent appears being more flexible?,"It may appears less efficient.
"
What does a utility function do when there are conflicting goals?,"It specifies the appropriate tradeoff.
"
What does a utility function do when there are several goals that the agent can aim for?,"It provides a way in which the likelihood of success can be weighed against the importance of the goals.
"
How can we say technically about a rational utility-based agent?,It chooses the action that maximizes the expected utility of the action outcomesâ€”that is
What will happen if an agent possesses an explicit utility function?,"It can make rational decisions with a general-purpose algorithm that does not depend on the specific utility function being maximized.
"
What is hard in utility-based function?,"A utility-based agent has to model and keep track of its environment; Choosing the utility-maximizing course of action.
"
What is the advantage for agent to learn?,"It allows the agent to operate in initially unknown environments and to become more competent than its initial knowledge alone might allow.
"
What is the conceptual components for a learning agent?,"Learning element; Performance element; Critic; Problem Generator.
"
What does the learning element in the components for a learning agent do?,"It is responsible for making improvements.
"
What does the performance element in the components for a learning agent do?,"It is responsible for selecting external actions.
"
What does the critic in the components for a learning agent do?,"The critic tells the learning element how well the agent is doing with respect to a fixed performance standard.
"
How should we think when we are trying to design an agent that learns a certain capability?,"The first question is not â€œHow am I going to get it to learn this?â€ but â€œWhat kind of performance element will my agent use to do this once it has learned how?â€ 
"
Why critic is necessary for a learning agent?,"The percepts themselves provide no indication of the agent's success. 
"
What does the problem generator in the components for a learning agent do?,"It is responsible for suggesting actions that will lead to new and informative experiences.
"
What will happen if an agent is willing to explore a little and do some perhaps suboptimal actions in the short run?,"It might discover much better actions for the long run.
"
What is needed when we are trying to learn a reflex component or a utility function?,"Information from the external standard.
"
What does the performance standard distinguishes part of the incoming percept as?,"A reward or penalty that provides direct feedback on the quality of the agent's behavior.
"
How can we rank the representations of task environments in their expressiveness?,Atomic
What does a particular agent component that deals with â€œWhat my actions doâ€ do?,It describes the changes that might occur in the environment as the result of taking an action
What happens in an atomic representation?,"Each state of the world is indivisibleâ€”it has no internal structure.
"
What are the examples of areas work with atomic representations?,Search and game-playing
What does a factored representation do?,It splits up each state into a fixed set of variables or attributes
What are the examples of areas work with factored representations?,Constraint satisfaction algorithms
What happens in a structured representation?,"Objects and their various and varying relationships can be described explicitly
"
When we need the structured representation?,When we need to understand the world as having things in it that are related to each other
What are the examples of areas work with structured representations?,Relational databases and first-order logic
How reasoning and learning changes following to the expressive power of the representation of an agent's environment?,"Reasoning and learning become more complex as the expressive power of the representation increases.
"
How can we gain the benefits of expressive representations of agent environments while avoiding their drawbacks?,"Intelligent systems for the real world may need to operate at all points along the axis simultaneously
"
What happens in a localist representation?,"There is a one-to-one mapping between concepts and memory locations.
"
What happens in a distributed representation?,The representation of a concept is spread over many memory locations
Which representations are more robust against noise and information loss, localist one or distributed one?
What bad situation might happen using localist representations?,The mapping from concept to memory location is arbitrary
What is the definition of problem-solving agent?,"An agent that need to plan ahead: to consider a sequence of actions that form a path to a goal state.
"
What is the definition of search?,"The computational process that a problem-solving agent undertakes.
"
What representations do Problem-solving agents use?,"Atomic representations.
"
What happens to informed algorithms?,"The agent can estimate how far it is from the goal.
"
What happens to uninformed algorithms?,"The agent cannot estimate how far it is from the goal.
"
What is the four-phrase problem-solving process?,"Goal formulation; problem formulation; Search; Execution.
"
What an agent does in goal formulation phase?,"The agent adopts the goal of a task.
"
How does the goals act in an agent's goal formulation phase?,"Goals organize behavior by limiting the objectives and hence the actions to be considered.
"
What an agent does in problem formulation phase?,"The agent devises a description of the states and actions necessary to reach the goalâ€”an abstract model of the relevant part of the world.
"
What an agent does in search phase?,Before taking any action in the real world
What is the definition of solution for problem-solving agent?,"A sequence of actions that reaches the goal.
"
What an agent does in execution phase?,The agent excute the actions in the solution
How is the solution in a fully observable, deterministic
What open-loop system is by the control theorists?,"A system ignoring the percepts breaks the loop between agent and environment.
"
Which loop is more safer for a problem-solving agent, open-loop or closed-loop?
How is the solution in a partially observable or nondeterministic environment?,"A solution would be a branching strategy that recommends different future actions depending on what percepts arrive.
"
What is the definition of the state space?,"A set of possible states that the environment can be in.
"
What is the definition of the initial state?,"The state that the agent starts in.
"
What is the definition of the goal states?,"A set of states that are goals to the agent.
"
What is the definition of transition model to problem-solving agent?,"A model which describes what each action does.
"
What is the definition of action cost function?,"A function reflects an agent's own performance measure.
"
What is the definition of a search problem?,The combination of a state space
What is the definition of an optimal solution?,"The solution having the lowest path cost.
"
What is the possible meaning of model?,An abstract mathematical description
What is the definition of abstraction?,"The process of removing detail from a representation.
"
How can we say an abstraction is good?,"It involves removing as much detail as possible while retaining validity and ensuring that the abstract actions are easy to carry out.
"
What will happen if we don't have the ability to construct useful abstractions?,"The intelligent agents would be completely swamped by the real world.
"
What is the definition of standardized problem?,"It is intended to illustrate or exercise various problem-solving methods.
"
How can researchers use a standardized problem?,"A standardized problem is suitable as a benchmark for researchers to compare the performance of algorithms.
"
What is the definition of real-world problem?,It is one whose solutions people actually use
What is a grid world problem?,"It is a two-dimensional rectangular array of square cells in which agents can move from cell to cell.
"
What agents can do to objects in cells in a grid world problem?,Cells can contain objects
What wall or impassible obstacles do in a grid world problem?,"Those things in a cell prevents an agent from moving into that cell.
"
What is the example of a grid world problem?,"Sokoban puzzle.
"
What is a sokoban puzzle?,It is a puzzle that the agent's goal is to push a number of boxes
What is a sliding-tile puzzle?,"It is a puzzle that a number of tiles (sometimes called blocks or pieces) are arranged in a grid with one or more blank spaces so that some of the tiles can slide into the blank space.
"
What is a touring problem?,It is a problem that describes a set of locations that must be visited
What is the traveling salesperson problem (TSP)?,"It is a touring problem in which every city on a map must be visited.
"
What does a VLSI layout problem requires?,"It requires positioning millions of components and connections on a chip.
"
What does a VLSI layout problem aims to?,It aims to minimize area
How does the VLSI layout problem be splited?,"It is split into two parts: cell layout and channel routing.
"
What is the difference of robot navigation from following distinct paths?,A robot can roam around
What problem do real robots must also deal with in robot navigation?,Their sensor readings and motor controls
Since when does the automatic assembly sequencing of complex objects (such as electric motors) by a robot have been standard industry practice?,"1970s.
"
What is protein design?,It is an assembly problem
What is the definition of search algorithm?,A search algorithm takes a search problem as input and returns a solution
What does a node in a search tree corresponds to?,"A state in the state space.
"
What does an edge in a search tree corresponds to?,"An action.
"
What does the root in a search tree corresponds to?,"The initial state of the problem.
"
What is the distinction of the state space from the search tree?,The state space describes the (possibly infinite) set of states in the world
What is the distinction of the search tree from the state space?,The search tree describes paths between these states
What is the process of expanding a node?,We can expand the node
If A is a child node of B, what B is of A?
What is the essence of search?,"Following up one option now and putting the others aside for later.
"
How can we say a node is reached?,"The node has had a node generated for it.
"
What is best-first search?,We choose a node
What is node?,"A node in the tree is represented by a data structure with four components: State; Parent; Action; Path cost.
"
What is the componenets of a node?,"State; Parent; Action; Path cost.
"
What is queue?,"A data structure used to store the frontier.
"
What are the possible operations on a frontier?,"check whether it is empty; remove the top node; return the top node; insert node into proper place
"
What is a priority queue?,A kind of queue which first pops the node with the minimum cost according to some evaluation function
Where does a priority queue might be used?,"It is used in best-first search.
"
What is a first-in-first-out (FIFO) queue?,"A kind of queue which  first pops the node that was added to the queue first.
"
Where does a FIFO queue might be used?,"It is used in breadth-first search.
"
What is a last-in-first-out (LIFO) queue?,"A kind of queue which  first pops the node that was added most recently to the queue.
"
Where does a LIFO queue might be used?,"It is used in depth-first search.
"
What is the example of loopy path in a search?,"The search goes repeatedly between two states.
"
what is the possible consequence if loopy path occurs in a search?,"The complete search tree is infinite.
"
What should be eliminated in the search?,"Redundant paths.
"
What possible methods can be used to eliminate redundant paths?,"Remember all previously reached states to detect redundant paths; do not consider it for minor problem formulations; only check for cycles but not for redundant paths in general.
"
What is a graph search?,"A search algorithm which checks for redundant paths.
"
What is a tree-like search?,"A search algorithm which does not check for redundant paths.
"
What is an example of graph search algorithm?,"The Brst-First-Search algorithm.
"
What are the evaluation methods on an algorithmâ€™s performance?,"Completeness; Cost optimality; Time complexity; Space complexity.
"
What does Completeness evaluates specificly on an algorithm's performance?,Is the algorithm guaranteed to find a solution when there is one
What does Cost optimality evaluates specificly on an algorithm's performance?,"Does it find a solution with the lowest path cost of all solutions?
"
What does Time complexity evaluates specificly on an algorithm's performance?,How long does it take to find a solution? This can be measured in seconds
What does Space complexity evaluates specificly on an algorithm's performance?,"How much memory is needed to perform the search?
"
What kind of search algorithm will be complete?,A search algorithm which is systematic in the way it explores an infinite state space
What evaluation methods on an algorithmâ€™s performance are considered with respect to some measure of the problem difficulty?,"Time and space complexity.
"
What variables can we use in measuring the complexity of an algorithm?,d
What is an informed search strategy?,"One that uses domain-specific hints about the location of goals.
"
What is heuristic function?,"The estimated cost of the cheapest path from the state at node n to a goal state.
"
What is Greedy best-first search?,"Greedy best -first search is a form of best-first search that expands first the node with the lowest value on the grounds that this is likely to lead to a solution quickly.
"
Why the algorithm is called â€œgreedyâ€?,On each iteration it tries to get as close to a goal as it can
What is A* search?,"A* search is a best-first search that uses the evaluation function f(n) = g(n) + h(n).
"
What is g(n)?,"g(n) is the path cost from the initial state to node n.
"
What is f(n)?,"f(n) is the estimated cost of the best path that continues from n to a goal.
"
What is the properties of A* search?,A* search is complete
What is the drawback of A* search?,"A* search uses a lot of space and memory.
"
What is an admissible heuristic?,"An admissible heuristic is one that never overestimates the cost to reach a goal. 
"
What is a contour?,"A contour is a useful way to visualize a search by drawing it in the state space.
"
Does uniform-cost search has contours?,Yes
What does the contours with uniform-cost search look like?,The contours with uniform-cost search will be â€œcircularâ€ around the start state
What is satisficing solutions?,Satisficing solutions are when we accept solutions that are suboptimal
What is bounded suboptimal search?,"We look for a solution that is guaranteed to be within a constant factor W of the optimal cost.
"
Which algorith provides bounded suboptimal search?,"Weighted A* provides bounded suboptimal search.
"
What is bounded-cost search?,"We look for a solution whose cost is less than some constant C.
"
What is unbounded-cost search?,We accept a solution of any cost
What is the example of an unbounded-cost search algorithm?,"An example of an unbounded-cost search algorithm is speedy search.
"
What is speedy search?,The speedy search is a version of greedy best-first search that uses as a heuristic the estimated number of actions required to reach a goal
What is Iterative-deepening A* search?,"Iterative-deepening A* search (IDA*) is to A* what iterative-deepening search is to depthfirst.
"
What is the benefits of Iterative-deepening A* search?,Iterative-deepening A* search gives us the benefits of A* without the requirement to keep all reached states in memory
What is recursive best-first search?,Recursive best-first search attempts to mimic the operation of standard best-first search
What is beam search?,Beam search puts a limit on the size of the frontier; that makes it incomplete and suboptimal
How to construct good heuristics?, One can sometimes construct good heuristics by relaxing the problem definition
How do local search algoritms function?,Local search algorithms operate by searching from a start state to neighboring states
Are local search algoritms systematic?,No
What are the advantages of local search algorithms?,"They use very little memory; and they can often find reasonable solutions in large or infinite state spaces for which systematic algorithms are unsuitable.
"
What is hill-climbing search algorithm?,"The hill-climbing search algorithm keeps track of one current state and on each iteration moves to the neighboring state with highest value.
"
Why hill climbing is called greedy local search?,"Hill climbing is called greedy local search because it grabs a good neighbor state without thinking ahead about where to go next.
"
What is the drawback of hill climbing?,Hill climbing can get stuck when it reaches local maxima
What is a local maximum?,"A local maximum is a peak that is higher than each of its neighboring states but lower than the global maximum.
"
What is a plateau?,"A plateau is a flat area of the state-space landscape.
"
What are the examples of plauteau?,A plauteau is a flat local maximum
What is stochastic hill climbing?,"Stochastic hill climbing  chooses at random from among the uphill moves; the probability of selection can vary with the steepness of the uphill move. 
"
What is first-choice hill climbing?,"A first-choice hill climbing implements stochastic hill climbing by generating successors randomly until one is generated that is better than the current state.
"
What is random-restart hill climbing?,A random-restart hill climbing conducts a series of hill-climbing searches from randomly generated initial states
How to get a success hill climbing?,A success hill climbing depends very much on the shape of the state-space landscape: if there are few local maxima and plateaus
What is simulated annealing?,"A simulated annealing combines hill climbing with a random walk in a way that yields both efficiency and completeness.
"
What is annealing?,Annealing is the process used to temper or harden metals and glass by heating them to a high temperature and then gradually cooling them
What is local beam search?,"The local beam search algorithm keeps track of k states rather than just one. 
"
How does the local beam search operate?,It begins with k randomly generated states. At each step
What is evolutionary algoritms?,"Evolutionary algorithms can be seen as variants of stochastic beam search that are explicitly motivated by the metaphor of natural selection in biology.
"
What is genetic algorithm?,Genetic algorithms are similar to stochastic beam search
When is the genetic algorithm advantageous?,"Genetic algorithm is advantageous when there are blocks that perform useful functions.
"
What are empirical gradient methods?,"Empirical gradient methods are methods that measure progress by the change in the value of the objective function between two nearby points
"
What is a belief state?," A belief state is a set of physical states that the agent believes are possible.
"
What is a sensorless problem?,"A sensorless problem is when the agentâ€™s percepts provide no information at all.
"
What are offline search algorithms?,"Offline search algorithms compute a complete solution before taking their first action.
"
What are online search algorithms?,Online search algorithms take an action first
How is an online search problem solved?,An online search problem is solved by interleaving computation
What is competitive ratio?,"Competitive ratio is the comparison of the cost with the path cost the agent would incur if it knew the search space in advance.
"
What are dead ends?,"Dead ends are states from which no goal state is reachable.
"
What is the meaning of safely explorable?,"Safely explorable is when some goal state is reachable from every reachable state. 
"
What is random walk?,"A random walk simply selects at random one of the available actions from the current state
"
What are competitive environments?,"Competitive environments are in which two or more agents have conflicting goals. 
"
What is an economy?,"An economy is to consider a very large number of agents in the aggregate.
"
What are the examples of games that include an element of chance?,"The examples are rolling dice or shuffling cards.
"
What are the examples of games of imperfect information?,The examples are poker and bridge
What is perfect information?,"Perfect information is when the game is fully observable.
"
What is zero-sum?,"â€œZero-sumâ€ means that what is good for one player is just as bad for the other: there is no â€œwin-winâ€ outcome.
"
What are the formally defined elements of a game?,A game can be formally defined with initial state
What is a terminal test?,"A terminal test is true when the game is over and false if otherwise.
"
What is terminal states?,"Terminal states are states where the game has ended.
"
What is a utility function?,"A utility function defines the final numeric value to player p when the game ends in terminal state s.
"
What are the other names of a utility function?,"The other names of a utility function are an objective function or payoff function.
"
What is a state space graph?,A state space graph is a graph where the vertices are states
When do we use minimax search?,"We uses minimax search for games with multiple outcome scores.
"
What is ply?,Ply is used to unambiguously mean one move by one player
What is the minimax search algorithm?,"The minimax search algorithm finds the best move for MAX by trying all actions and choosing the one whose resulting state has the highest MINIMAX value.
"
Is the minimax search algorithm recursive?,Yes
What is the time complexity for the minimax search algorithm?,"The time complexity of the minimax algorithm is O(b^m) if the maximum depth of the tree is m and there are b legal moves at each point.
"
What is alphaâ€“beta pruning?,"The alphaâ€“beta pruning is the particular technique when we compute the correct minimax decision without examining every state by pruning large parts of the tree that make no difference to the outcome.
"
What is Type A strategy?,A Type A strategy considers all possible moves to a certain depth in the search tree
What is Type B strategy?,A Type B strategy ignores moves that look bad
What is the difference between the Type A strategy and Type B strategy?,Type A strategy explores a wide but shallow portion of the tree
What is the example of games with Type A strategy?,"Most of the chess programs have been Type A strategy.
"
What is the example of games with Type B strategy,"Most of the Go programs are more often Type B strategy.
"
What is forward pruning?,A forward pruning prunes moves that appear to be poor moves
Why we use Monte Carlo tree search?,We use Monte Carlo tree search because  alphaâ€“beta search would be limited to only 4 or 5 ply and 
What are sto4chastic games?,Stochastic games bring us a little closer to the unpredictability of real life by including a random element
What is the example of stochastic games?,"Backgammon is a typical stochastic game that combines luck and skill. 
"
What are partially obsercable games?,"Partially observable games  includes the use of scouts and spies to gather information and the use of concealment and bluff to confuse the enemy.
"
What are the examples of partially obsercable games?,"Video games such as StarCraft is the example of partially obsercable game.
"
What are stochastic partial observable games?,"Stochastic partial observable games are where the missing information is generated by the random dealing of cards.
"
What are the examples of stochastic partial observable games?,Card games such as bridge
When is Monte Carlo search preferred?,When the branching factor is high or it is difficult to define an evaluation function
What is the limitation of alphaâ€“beta search?,"The limitation of alphaâ€“beta search is its vulnerability to errors in the heuristic function.
"
What is the limitation of Monte Carlo search?,"The limitation of Monte Carlo is that it is designed to calculate the values of legal moves. 
"
What is metareasoning?,"Metareasoning is the kind of reasoning about what computations to do.
"
What is a constraint satisfaction problem?,"A constraint satisfaction problem is A problem that is solved when each variable has a value that satisfies all the constraints on the variable.
"
What are the components of a constraint satisfaction problem?,The three components are a set of variables (X)
What is a consistent or legal assignment?,"A consistent or legal assignment is an assignment that does not violate any constraints.
"
What is a complete assignment?,"A complete assignment is one in which every variable is assigned a value.
"
What is a solution to a CSP?,A solution to a CSP is a consistent
What is a partial assignment?,"A partial assignment is one that leaves some variables unassigned.
"
What is a partial solution?,"A partial solution is a partial assignment that is consistent.
"
Why do we formulate a problem as a CSP?,"One reason is that the CSPs yield a natural representation for a wide variety of problems; it is often easy to formulate a problem as a CSP.
"
What are linear constraints?,"Linear constraints are  constraints in which each variable appears only in linear form. 
"
What is unary constraint?,"A unary constraint restricts the value of a single variable. 
"
What is a global constraint?,"A global constraint is a constraint involving an arbitrary number of variables.
"
What is constraint propagation?,It is using the constraints to reduce the number of legal values for a variable
What is node-consistency?,"A single variable is node-consistent if all the values in the variableâ€™s domain satisfy the variableâ€™s unary constraints. 
"
What is arc-consistent?,"A variable in a CSP is arc-consistent if every value in its domain satisfies the variableâ€™s binary constraints. 
"
What is the example of algorithm that enforce arc consistency?,"The most popular algorithm for enforcing arc consistency is called AC-3. 
"
What can path consistency do?,"Path consistency tightens the binary constraints by using implicit constraints that are inferred by looking at triples of variables.
"
What is minimum-remaining-values?,"Minimum-remaining-value is the idea of choosing the variable with the fewest â€œlegalâ€ values.
"
What can degree heuristic do?,"Degree heuristic attempts to reduce the branching factor on future choices by selecting the variable that is involved in the largest number of constraints on other unassigned variables.
"
What can the least-constraining-value heuristic do?,"The least-constraining-value heuristic prefers the value that rules out the fewest choices for the neighboring variables in the constraint graph.
"
What is the policy of backtracking-search algorithm?,"The backtracking-search algorithm backs up to the preceding variable and try a different value for it. 
"
What is a backjumping method?,"A backjumping method backtracks to the most recent assignment in the conflict set.
"
What happens to the algorithm when no legal value is found?,When no legal value is found
What is constraint learning?,"Constraint learning is the idea of finding a minimum set of variables from the conflict set that causes the problem.
"
How can independence be ascertained?,"Independence can be ascertained simply by finding connected components of the constraint graph. 
"
What is a topological sort?,A topological sort is the ordering of picking any variable to be the root of the tree first
What is a tree decomposition?,"A tree decomposition is a transformation of the original graph into a tree where each node in the tree consists of a set of variable.
"
